Seg,Period,Step,NV,MI,MF,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
4,0,4,13.083909,14.149999,14.149999,23.779167,3.40E+38,3.40E+38,1.5791667,0,0,0,14.149999,364.82498
5,0,4,19.263826,20.370832,20.370832,40,3.40E+38,3.40E+38,6.2208333,0,0,0,20.370832,274.62292
6,0,4,3.3109703,20.370832,20.370832,40,3.40E+38,3.40E+38,0,0,0,0,20.370832,464.6229
7,0,4,17.378656,19.579166,19.579166,40,3.40E+38,3.40E+38,0,0.7916666,0,0,20.370832,464.6229
8,0,4,5.212635,19.579166,19.579166,46.4269,3.40E+38,3.40E+38,0,0,0,0,19.579166,476.10205
9,0,4,66.11821,21,21,40,3.40E+38,3.40E+38,2.225,0.8041667,0,0,21.804167,625.079
10,0,4,5.8671284,21,21,42.940304,3.40E+38,3.40E+38,0,0,0,0,21,455.49997
11,0,4,28.244545,23.428541,23.428541,40,3.40E+38,3.40E+38,3.0618749,0.63333327,0,1.91E-06,24.061874,570.78186
12,0,4,6.358021,23.428541,23.428541,43.392796,3.40E+38,3.40E+38,0,0,0,0,23.428541,420.28613
13,0,4,65.34808,17.969166,17.969166,40,3.40E+38,3.40E+38,2.803125,8.2625,0,0,26.231667,538.31946
14,0,4,18.669266,17.969166,17.969166,38.260624,3.40E+38,3.40E+38,0,0,0,0,17.969166,499.44705
15,0,4,14.456165,19.70854,19.70854,48.495415,3.40E+38,3.40E+38,1.7393749,0,0,0,19.70854,474.2261
16,0,4,25.028734,21.213123,21.213123,50,3.40E+38,3.40E+38,1.5045834,0,0,0,21.213123,642.4096
17,0,4,9.545906,21.213123,21.213123,50,3.40E+38,3.40E+38,0,0,0,0,21.213123,642.4096
18,0,4,20.662136,19.89229,19.89229,40,3.40E+38,3.40E+38,0,1.3208331,0,0,21.213123,642.4096
19,0,4,21.954329,18.84229,18.84229,40,3.40E+38,3.40E+38,0,1.0499998,0,1.91E-06,19.89229,471.5617
20,0,4,19.209345,18.84229,18.84229,37.920418,3.40E+38,3.40E+38,0,0,0,0,18.84229,486.78668
21,0,4,22.063576,20.921875,20.921875,40,3.40E+38,3.40E+38,2.0795832,0,0,0,20.921875,456.63275
22,0,4,8.155506,20.921875,20.921875,40,3.40E+38,3.40E+38,0,0,0,0,20.921875,456.63275
23,0,4,20.999,19.788542,19.788542,40,3.40E+38,3.40E+38,0,1.1333332,0,0,20.921875,456.63275
24,0,4,16.447618,19.788542,19.788542,37.18729,3.40E+38,3.40E+38,0,0,0,0,19.788542,473.0661
25,0,4,20.740091,22.60125,22.60125,38.768543,3.40E+38,3.40E+38,2.8127084,0,0,0,22.60125,432.28183
26,0,4,25.373825,23.832708,23.832708,40,3.40E+38,3.40E+38,1.2314583,0,0,0,23.832708,414.4257
27,0,4,104.60238,23.832708,23.832708,40,3.40E+38,3.40E+38,0,0,0,0,23.832708,414.4257
